NETWORK,FEATURE,SUBJECT,N,P,K,ACC,PVAL
aud,math v str,737.mat,48,0.500000,24,0.500000,0.557283
aud,math v str,738.mat,48,0.500000,26,0.541667,0.332733
aud,math v str,739.mat,48,0.500000,24,0.500000,0.557283
aud,math v str,740.mat,48,0.500000,16,0.333333,0.993358
aud,math v str,743.mat,48,0.500000,32,0.666667,0.014652
aud,math v str,744.mat,48,0.500000,30,0.625000,0.055701
aud,math v str,745.mat,48,0.500000,33,0.687500,0.006642
aud,math v str,759.mat,48,0.500000,24,0.500000,0.557283
aud,math v str,760.mat,48,0.500000,25,0.520833,0.442717
aud,math v str,761.mat,48,0.500000,24,0.500000,0.557283
aud,math v str,762.mat,48,0.500000,31,0.645833,0.029732
aud,math v str,763.mat,48,0.500000,27,0.562500,0.235440
aud,math v str,764.mat,48,0.500000,26,0.541667,0.332733
aud,math v str,766.mat,48,0.500000,33,0.687500,0.006642
aud,seq v for,725.mat,32,0.500000,16,0.500000,0.569975
aud,seq v for,726.mat,32,0.500000,16,0.500000,0.569975
aud,seq v for,727.mat,32,0.500000,14,0.437500,0.811457
aud,seq v for,728.mat,32,0.500000,11,0.343750,0.974949
aud,seq v for,729.mat,32,0.500000,16,0.500000,0.569975
aud,seq v for,731.mat,32,0.500000,11,0.343750,0.974949
aud,seq v for,732.mat,32,0.500000,14,0.437500,0.811457
aud,seq v for,733.mat,32,0.500000,15,0.468750,0.701693
aud,seq v for,734.mat,32,0.500000,18,0.562500,0.298307
aud,seq v for,735.mat,32,0.500000,18,0.562500,0.298307
aud,seq v for,736.mat,32,0.500000,7,0.218750,0.999732
aud,seq v for,737.mat,32,0.500000,18,0.562500,0.298307
aud,seq v for,738.mat,32,0.500000,16,0.500000,0.569975
aud,seq v for,739.mat,32,0.500000,11,0.343750,0.974949
aud,seq v for,740.mat,32,0.500000,20,0.625000,0.107664
aud,seq v for,743.mat,32,0.500000,21,0.656250,0.055092
aud,seq v for,744.mat,32,0.500000,13,0.406250,0.892336
aud,seq v for,745.mat,32,0.500000,14,0.437500,0.811457
aud,seq v for,759.mat,32,0.500000,22,0.687500,0.025051
aud,seq v for,760.mat,32,0.500000,12,0.375000,0.944908
aud,seq v for,761.mat,32,0.500000,19,0.593750,0.188543
aud,seq v for,762.mat,32,0.500000,15,0.468750,0.701693
aud,seq v for,763.mat,32,0.500000,20,0.625000,0.107664
aud,seq v for,764.mat,32,0.500000,15,0.468750,0.701693
aud,seq v for,766.mat,32,0.500000,14,0.437500,0.811457
aud,seq v if,725.mat,32,0.500000,15,0.468750,0.701693
aud,seq v if,726.mat,32,0.500000,16,0.500000,0.569975
aud,seq v if,727.mat,32,0.500000,16,0.500000,0.569975
aud,seq v if,728.mat,32,0.500000,18,0.562500,0.298307
aud,seq v if,729.mat,32,0.500000,18,0.562500,0.298307
aud,seq v if,731.mat,32,0.500000,17,0.531250,0.430025
aud,seq v if,732.mat,32,0.500000,17,0.531250,0.430025
aud,seq v if,733.mat,32,0.500000,22,0.687500,0.025051
aud,seq v if,734.mat,32,0.500000,22,0.687500,0.025051
aud,seq v if,735.mat,32,0.500000,12,0.375000,0.944908
aud,seq v if,736.mat,32,0.500000,18,0.562500,0.298307
aud,seq v if,737.mat,32,0.500000,21,0.656250,0.055092
aud,seq v if,738.mat,32,0.500000,17,0.531250,0.430025
aud,seq v if,739.mat,32,0.500000,15,0.468750,0.701693
aud,seq v if,740.mat,32,0.500000,17,0.531250,0.430025
aud,seq v if,743.mat,32,0.500000,16,0.500000,0.569975
aud,seq v if,744.mat,32,0.500000,20,0.625000,0.107664
aud,seq v if,745.mat,32,0.500000,24,0.750000,0.003500
aud,seq v if,759.mat,32,0.500000,16,0.500000,0.569975
aud,seq v if,760.mat,32,0.500000,20,0.625000,0.107664
aud,seq v if,761.mat,32,0.500000,22,0.687500,0.025051
aud,seq v if,762.mat,32,0.500000,17,0.531250,0.430025
aud,seq v if,763.mat,32,0.500000,22,0.687500,0.025051
aud,seq v if,764.mat,32,0.500000,17,0.531250,0.430025
aud,seq v if,766.mat,32,0.500000,19,0.593750,0.188543
aud,for v if,725.mat,32,0.500000,20,0.625000,0.107664
aud,for v if,726.mat,32,0.500000,19,0.593750,0.188543
aud,for v if,727.mat,32,0.500000,20,0.625000,0.107664
aud,for v if,728.mat,32,0.500000,15,0.468750,0.701693
aud,for v if,729.mat,32,0.500000,22,0.687500,0.025051
aud,for v if,731.mat,32,0.500000,18,0.562500,0.298307
aud,for v if,732.mat,32,0.500000,18,0.562500,0.298307
aud,for v if,733.mat,32,0.500000,19,0.593750,0.188543
aud,for v if,734.mat,32,0.500000,22,0.687500,0.025051
aud,for v if,735.mat,32,0.500000,22,0.687500,0.025051
aud,for v if,736.mat,32,0.500000,18,0.562500,0.298307
aud,for v if,737.mat,32,0.500000,16,0.500000,0.569975
aud,for v if,738.mat,32,0.500000,18,0.562500,0.298307
aud,for v if,739.mat,32,0.500000,20,0.625000,0.107664
aud,for v if,740.mat,32,0.500000,22,0.687500,0.025051
aud,for v if,743.mat,32,0.500000,18,0.562500,0.298307
aud,for v if,744.mat,32,0.500000,20,0.625000,0.107664
aud,for v if,745.mat,32,0.500000,15,0.468750,0.701693
aud,for v if,759.mat,32,0.500000,21,0.656250,0.055092
aud,for v if,760.mat,32,0.500000,17,0.531250,0.430025
aud,for v if,761.mat,32,0.500000,19,0.593750,0.188543
aud,for v if,762.mat,32,0.500000,13,0.406250,0.892336
aud,for v if,763.mat,32,0.500000,22,0.687500,0.025051
aud,for v if,764.mat,32,0.500000,16,0.500000,0.569975
aud,for v if,766.mat,32,0.500000,19,0.593750,0.188543
